Company_Country_Code,Company_Place_Name,Company_Latitude,Company_Longitude,Company_Country_Name
DE,Munich,48.1465,11.4506,Germany
DE,Munich,48.0834,11.5036,Germany
DE,Munich,48.0844,11.4923,Germany
DE,Munich,48.1291,11.4895,Germany
DE,Munich,48.2225,11.548,Germany
DE,Munich,48.1853,11.4643,Germany
DE,Munich,48.2043,11.5585,Germany
DE,Munich,48.1976,11.5181,Germany
DE,Munich,48.1611,11.6394,Germany
DE,Munich,48.1662,11.4673,Germany
DE,Munich,48.0827,11.5619,Germany
DE,Munich,48.1475,11.4635,Germany
DE,Munich,48.0915,11.5392,Germany
DE,Munich,48.1833,11.75,Germany
DE,Munich,48.1,11.4667,Germany
DE,Munich,48.148,11.7434,Germany
GB,London,51.51300000000001,-0.0618,United Kingdom
GB,London,51.5508,0.0528,United Kingdom
GB,London,51.5649,-0.1351,United Kingdom
GB,London,51.5895,-0.1641,United Kingdom
GB,London,51.5232,-0.1578,United Kingdom
GB,London,51.4739,-0.0938,United Kingdom
GB,London,51.5491,-0.1205,United Kingdom
GB,London,51.5085,-0.1257,United Kingdom
GB,London,51.5161,-0.0949,United Kingdom
GB,London,51.5198,-0.0948,United Kingdom
GB,London,51.5237,-0.0877,United Kingdom
GB,London,51.5232,-0.0933,United Kingdom
GB,London,51.5115,-0.0912,United Kingdom
GB,London,51.5092,-0.0955,United Kingdom
GB,London,51.5163,-0.0875,United Kingdom
GB,London,51.5136,-0.0873,United Kingdom
