"Cylinders","EngineSize","DriveWheels","FuelCostperYear","FuelType","Make","Model","Transmission","UCity","UHighway","VechileClass","Year","Guzzler"
6,3,"Front-Wheel Drive",1950,"Regular Gasoline","Dodge","Spirit","Automatic 3-spd",22,34,"Midsize Cars",1993,NA
6,3,"Front-Wheel Drive",1900,"Regular Gasoline","Dodge","Spirit","Automatic 4-spd",23,37,"Midsize Cars",1993,NA
6,3,"Front-Wheel Drive",1900,"Regular Gasoline","Ford","Taurus","Automatic 4-spd",23,38,"Midsize Cars",1993,NA
6,3,"Front-Wheel Drive",2500,"Premium Gasoline","Ford","Taurus SHO","Manual 5-spd",20,33.3333,"Midsize Cars",1993,NA
8,5.2,"Rear-Wheel Drive",3950,"Regular Gasoline","Dodge","B350 Wagon 2WD","Automatic 3-spd",12,15,"Vans",1985,NA
6,3.8,"Front-Wheel Drive",1950,"Regular Gasoline","Ford","Taurus","Automatic 4-spd",21,35,"Midsize Cars",1993,NA
6,3.8,"Rear-Wheel Drive",1950,"Regular Gasoline","Ford","Thunderbird","Automatic 4-spd",21.1111,34,"Midsize Cars",1993,NA
6,3.8,"Rear-Wheel Drive",2800,"Premium Gasoline","Ford","Thunderbird","Automatic 4-spd",19,29,"Midsize Cars",1993,NA
6,3.8,"Rear-Wheel Drive",2600,"Premium Gasoline","Ford","Thunderbird","Manual 5-spd",19,31,"Midsize Cars",1993,NA
8,5,"Rear-Wheel Drive",2200,"Regular Gasoline","Ford","Thunderbird","Automatic 4-spd",19,30.7692,"Midsize Cars",1993,NA
4,2,"Front-Wheel Drive",1950,"Regular Gasoline","Hyundai","Sonata","Automatic 4-spd",22.2222,35,"Midsize Cars",1993,NA
4,2,"Front-Wheel Drive",1950,"Regular Gasoline","Hyundai","Sonata","Manual 5-spd",22,34,"Midsize Cars",1993,NA
6,3,"Front-Wheel Drive",2200,"Regular Gasoline","Hyundai","Sonata","Automatic 4-spd",20,30.7692,"Midsize Cars",1993,NA
8,4.5,"Rear-Wheel Drive",2800,"Premium Gasoline","Infiniti","Q45","Automatic 4-spd",19,28,"Midsize Cars",1993,NA
8,4.5,"Rear-Wheel Drive",3150,"Premium Gasoline","Infiniti","Q45 Full-Active Suspension","Automatic 4-spd",16.6667,24.359,"Midsize Cars",1993,TRUE
8,5.2,"Rear-Wheel Drive",3950,"Regular Gasoline","Dodge","B350 Wagon 2WD","Automatic 3-spd",12,15,"Vans",1985,NA
8,4,"Rear-Wheel Drive",2600,"Premium Gasoline","Lexus","LS 400","Automatic 4-spd",20,30,"Midsize Cars",1993,NA
6,3.8,"Rear-Wheel Drive",2100,"Regular Gasoline","Mercury","Cougar","Automatic 4-spd",21,33.3333,"Midsize Cars",1993,NA
8,5,"Rear-Wheel Drive",2200,"Regular Gasoline","Mercury","Cougar","Automatic 4-spd",19,30.7692,"Midsize Cars",1993,NA
6,3,"Front-Wheel Drive",1900,"Regular Gasoline","Mercury","Sable","Automatic 4-spd",23,38,"Midsize Cars",1993,NA
6,3.8,"Front-Wheel Drive",1950,"Regular Gasoline","Mercury","Sable","Automatic 4-spd",21,35,"Midsize Cars",1993,NA
4,2,"Front-Wheel Drive",1700,"Regular Gasoline","Mazda","626","Automatic 4-spd",26,39.7436,"Midsize Cars",1993,NA
4,2,"Front-Wheel Drive",1500,"Regular Gasoline","Mazda","626","Manual 5-spd",29,43,"Midsize Cars",1993,NA
6,2.5,"Front-Wheel Drive",2500,"Premium Gasoline","Mazda","626","Automatic 4-spd",21,32,"Midsize Cars",1993,NA
6,2.5,"Front-Wheel Drive",2350,"Premium Gasoline","Mazda","626","Manual 5-spd",23,33.3333,"Midsize Cars",1993,NA
6,3,"Rear-Wheel Drive",2500,"Premium Gasoline","Mazda","929","Automatic 4-spd",21,30.7692,"Midsize Cars",1993,NA
8,5.9,"Rear-Wheel Drive",3950,"Regular Gasoline","Dodge","B350 Wagon 2WD","Automatic 3-spd",11,14,"Vans",1985,NA
4,2.2,"Front-Wheel Drive",1700,"Regular Gasoline","Oldsmobile","Cutlass Ciera","Automatic 3-spd",26,39.7436,"Midsize Cars",1993,NA
6,3.3,"Front-Wheel Drive",2100,"Regular Gasoline","Oldsmobile","Cutlass Ciera","Automatic 3-spd",21.1111,33,"Midsize Cars",1993,NA
6,3.3,"Front-Wheel Drive",1900,"Regular Gasoline","Oldsmobile","Cutlass Ciera","Automatic 4-spd",22,37,"Midsize Cars",1993,NA
6,3.1,"Front-Wheel Drive",1950,"Regular Gasoline","Oldsmobile","Cutlass Supreme","Automatic 3-spd",21,35,"Midsize Cars",1993,NA
6,3.1,"Front-Wheel Drive",1950,"Regular Gasoline","Oldsmobile","Cutlass Supreme","Automatic 4-spd",21,38,"Midsize Cars",1993,NA
6,3.4,"Front-Wheel Drive",2200,"Regular Gasoline","Oldsmobile","Cutlass Supreme","Automatic 4-spd",19,33,"Midsize Cars",1993,NA
6,3.4,"Front-Wheel Drive",2200,"Regular Gasoline","Oldsmobile","Cutlass Supreme","Manual 5-spd",18.8889,34,"Midsize Cars",1993,NA
6,3.8,"Front-Wheel Drive",1950,"Regular Gasoline","Oldsmobile","Toronado","Automatic 4-spd",21,35,"Midsize Cars",1993,NA
4,2.5,"Front-Wheel Drive",1900,"Regular Gasoline","Plymouth","Acclaim","Automatic 3-spd",24,34,"Midsize Cars",1993,NA
4,2.5,"Front-Wheel Drive",1700,"Regular Gasoline","Plymouth","Acclaim","Automatic 3-spd",26,36,"Midsize Cars",1993,NA
6,4.9,"Rear-Wheel Drive",3050,"Regular Gasoline","Ford","E150 Club Wagon","Automatic 3-spd",15,20,"Vans",1985,NA
4,2.5,"Front-Wheel Drive",1600,"Regular Gasoline","Plymouth","Acclaim","Manual 5-spd",28,41,"Midsize Cars",1993,NA
6,3,"Front-Wheel Drive",1950,"Regular Gasoline","Plymouth","Acclaim","Automatic 3-spd",22,34,"Midsize Cars",1993,NA
6,3,"Front-Wheel Drive",1900,"Regular Gasoline","Plymouth","Acclaim","Automatic 4-spd",23,37,"Midsize Cars",1993,NA
6,3.1,"Front-Wheel Drive",1950,"Regular Gasoline","Pontiac","Grand Prix","Automatic 3-spd",21,35,"Midsize Cars",1993,NA
6,3.1,"Front-Wheel Drive",1950,"Regular Gasoline","Pontiac","Grand Prix","Automatic 4-spd",21,38,"Midsize Cars",1993,NA
6,3.4,"Front-Wheel Drive",2200,"Regular Gasoline","Pontiac","Grand Prix","Automatic 4-spd",19,33,"Midsize Cars",1993,NA
6,3.4,"Front-Wheel Drive",2200,"Regular Gasoline","Pontiac","Grand Prix","Manual 5-spd",18.8889,34,"Midsize Cars",1993,NA
8,6.8,"Rear-Wheel Drive",4300,"Premium Gasoline","Rolls-Royce","Brooklands/Brklnds L","Automatic 4-spd",11.1111,18,"Midsize Cars",1993,TRUE
8,6.8,"Rear-Wheel Drive",4300,"Premium Gasoline","Rolls-Royce","Turbo R/Turbo R(lwb)","Automatic 4-spd",12,20,"Midsize Cars",1993,TRUE
8,6.8,"Rear-Wheel Drive",4300,"Premium Gasoline","Rolls-Royce","Silver Spirit II/Silver Spur","Automatic 4-spd",11.1111,18,"Midsize Cars",1993,TRUE
6,4.9,"Rear-Wheel Drive",2800,"Regular Gasoline","Ford","E150 Club Wagon","Automatic 4-spd",16,23,"Vans",1985,NA
4,2.2,"Front-Wheel Drive",1900,"Regular Gasoline","Toyota","Camry","Automatic 4-spd",23,36,"Midsize Cars",1993,NA
4,2.2,"Front-Wheel Drive",1800,"Regular Gasoline","Toyota","Camry","Manual 5-spd",24.4444,38,"Midsize Cars",1993,NA
6,3,"Front-Wheel Drive",2100,"Regular Gasoline","Toyota","Camry","Automatic 4-spd",20,31,"Midsize Cars",1993,NA
6,3,"Front-Wheel Drive",2200,"Regular Gasoline","Toyota","Camry","Manual 5-spd",20,31,"Midsize Cars",1993,NA
4,2,"Front-Wheel Drive",1900,"Regular Gasoline","Volkswagen","Passat","Automatic 4-spd",22,37,"Midsize Cars",1993,NA
4,2,"Front-Wheel Drive",1800,"Regular Gasoline","Volkswagen","Passat","Manual 5-spd",23,39,"Midsize Cars",1993,NA
6,2.8,"Front-Wheel Drive",2200,"Regular Gasoline","Volkswagen","Passat","Automatic 4-spd",19,31,"Midsize Cars",1993,NA
6,2.8,"Front-Wheel Drive",1950,"Regular Gasoline","Volkswagen","Passat","Manual 5-spd",21,35,"Midsize Cars",1993,NA
5,2.4,"Front-Wheel Drive",1900,"Regular Gasoline","Volvo","850","Automatic 4-spd",22.2222,36,"Midsize Cars",1993,NA
5,2.4,"Front-Wheel Drive",1900,"Regular Gasoline","Volvo","850","Manual 5-spd",23,38,"Midsize Cars",1993,NA
4,2.2,"Front-Wheel Drive",2250,"Premium Gasoline","Dodge","Charger","Manual 5-spd",23,38,"Subcompact Cars",1985,NA
6,4.9,"Rear-Wheel Drive",2450,"Regular Gasoline","Ford","E150 Club Wagon","Manual 4-spd",18,24,"Vans",1985,NA
4,2.3,"Rear-Wheel Drive",2100,"Regular Gasoline","Volvo","940","Automatic 4-spd",21,30,"Midsize Cars",1993,NA
4,2.3,"Rear-Wheel Drive",1950,"Regular Gasoline","Volvo","940","Automatic 4-spd",21,35,"Midsize Cars",1993,NA
6,2.9,"Rear-Wheel Drive",2200,"Regular Gasoline","Volvo","960","Automatic 4-spd",19,32,"Midsize Cars",1993,NA
6,3.8,"Front-Wheel Drive",1950,"Regular Gasoline","Buick","LeSabre","Automatic 4-spd",21,36,"Large Cars",1993,NA
6,3.8,"Front-Wheel Drive",2600,"Premium Gasoline","Buick","Park Avenue","Automatic 4-spd",19,35,"Large Cars",1993,NA
6,3.8,"Front-Wheel Drive",1950,"Regular Gasoline","Buick","Park Avenue","Automatic 4-spd",21,35,"Large Cars",1993,NA
8,5.7,"Rear-Wheel Drive",2300,"Regular Gasoline","Buick","Roadmaster","Automatic 4-spd",18,32,"Large Cars",1993,NA
8,4.9,"Front-Wheel Drive",2800,"Premium Gasoline","Cadillac","DeVille/60 Special","Automatic 4-spd",18,32,"Large Cars",1993,NA
8,5.7,"Rear-Wheel Drive",2300,"Regular Gasoline","Cadillac","Fleetwood","Automatic 4-spd",18,32,"Large Cars",1993,NA
6,4.3,"Rear-Wheel Drive",2100,"Regular Gasoline","Chevrolet","Caprice","Automatic 4-spd",20,33,"Large Cars",1993,NA
8,5,"Rear-Wheel Drive",3300,"Regular Gasoline","Ford","E150 Club Wagon","Automatic 4-spd",13,19,"Vans",1985,NA
8,5,"Rear-Wheel Drive",2200,"Regular Gasoline","Chevrolet","Caprice","Automatic 4-spd",19,33,"Large Cars",1993,NA
8,5.7,"Rear-Wheel Drive",2300,"Regular Gasoline","Chevrolet","Caprice","Automatic 4-spd",18,32,"Large Cars",1993,NA
6,3.3,"Front-Wheel Drive",1900,"Regular Gasoline","Chrysler","Concorde","Automatic 4-spd",22,36,"Large Cars",1993,NA
6,3.5,"Front-Wheel Drive",2100,"Regular Gasoline","Chrysler","Concorde","Automatic 4-spd",20,33.3333,"Large Cars",1993,NA
6,3.3,"Front-Wheel Drive",1950,"Regular Gasoline","Chrysler","Fifth Avenue/Imperial","Automatic 4-spd",22,33.3333,"Large Cars",1993,NA
6,3.8,"Front-Wheel Drive",2100,"Regular Gasoline","Chrysler","Fifth Avenue/Imperial","Automatic 4-spd",21,33.3333,"Large Cars",1993,NA
6,3.3,"Front-Wheel Drive",1900,"Regular Gasoline","Dodge","Intrepid","Automatic 4-spd",22,36,"Large Cars",1993,NA
6,3.5,"Front-Wheel Drive",2100,"Regular Gasoline","Dodge","Intrepid","Automatic 4-spd",20,33.3333,"Large Cars",1993,NA
6,3.3,"Front-Wheel Drive",1900,"Regular Gasoline","Eagle","Vision","Automatic 4-spd",22,36,"Large Cars",1993,NA
6,3.5,"Front-Wheel Drive",2100,"Regular Gasoline","Eagle","Vision","Automatic 4-spd",20,33.3333,"Large Cars",1993,NA
8,5.8,"Rear-Wheel Drive",3600,"Regular Gasoline","Ford","E150 Club Wagon","Automatic 3-spd",12,16.6667,"Vans",1985,NA
8,4.6,"Rear-Wheel Drive",2100,"Regular Gasoline","Ford","LTD Crown Victoria","Automatic 4-spd",20,33,"Large Cars",1993,NA
6,3.8,"Front-Wheel Drive",2200,"Regular Gasoline","Lincoln","Continental","Automatic 4-spd",19,33,"Large Cars",1993,NA
8,4.6,"Rear-Wheel Drive",2100,"Regular Gasoline","Mercury","Grand Marquis","Automatic 4-spd",20,33,"Large Cars",1993,NA
8,4.6,"Rear-Wheel Drive",2100,"Regular Gasoline","Lincoln","Town Car","Automatic 4-spd",20,33,"Large Cars",1993,NA
6,3.5,"Rear-Wheel Drive",2200,"Diesel","Mercedes-Benz","300SD","Automatic 4-spd",22,30,"Large Cars",1993,NA
6,3.2,"Rear-Wheel Drive",3150,"Premium Gasoline","Mercedes-Benz","300SE","Automatic 5-spd",16.6667,24.359,"Large Cars",1993,TRUE
8,4.2,"Rear-Wheel Drive",3400,"Premium Gasoline","Mercedes-Benz","400SEL","Automatic 4-spd",16,23,"Large Cars",1993,TRUE
8,5,"Rear-Wheel Drive",3650,"Premium Gasoline","Mercedes-Benz","500SEL","Automatic 4-spd",14.4444,22,"Large Cars",1993,TRUE
6,3.8,"Front-Wheel Drive",1950,"Regular Gasoline","Oldsmobile","Eighty-Eight","Automatic 4-spd",21,36,"Large Cars",1993,NA
6,3.8,"Front-Wheel Drive",1950,"Regular Gasoline","Oldsmobile","Ninety-Eight","Automatic 4-spd",21,35,"Large Cars",1993,NA
6,4.3,"Rear-Wheel Drive",2650,"Regular Gasoline","GMC","G15/25 Rally 2WD","Automatic 3-spd",17.7778,22,"Vans",1985,NA
6,3.8,"Front-Wheel Drive",2600,"Premium Gasoline","Oldsmobile","Ninety-Eight","Automatic 4-spd",19,35,"Large Cars",1993,NA
6,3.8,"Front-Wheel Drive",2600,"Premium Gasoline","Pontiac","Bonneville","Automatic 4-spd",19,32,"Large Cars",1993,NA
6,3.8,"Front-Wheel Drive",1950,"Regular Gasoline","Pontiac","Bonneville","Automatic 4-spd",21,36,"Large Cars",1993,NA
8,6.8,"Rear-Wheel Drive",4300,"Premium Gasoline","Rolls-Royce","Silver Spur II Mpw Touring L","Automatic 4-spd",11,18,"Large Cars",1993,TRUE
4,2.3,"Front-Wheel Drive",2200,"Regular Gasoline","Saab","9000","Automatic 4-spd",19,32,"Large Cars",1993,NA
4,2.3,"Front-Wheel Drive",2200,"Regular Gasoline","Saab","9000","Automatic 4-spd",20,31,"Large Cars",1993,NA
4,2.3,"Front-Wheel Drive",2100,"Regular Gasoline","Saab","9000","Manual 5-spd",21,33,"Large Cars",1993,NA
4,2.3,"Front-Wheel Drive",1950,"Regular Gasoline","Saab","9000","Manual 5-spd",21,35,"Large Cars",1993,NA
6,2.8,"4-Wheel or All-Wheel Drive",2600,"Premium Gasoline","Audi","100 quattro Wagon","Automatic 4-spd",20,28,"Small Station Wagons",1993,NA
6,2.5,"Rear-Wheel Drive",2500,"Premium Gasoline","BMW","525i Touring","Automatic 4-spd",20,32,"Small Station Wagons",1993,NA
6,4.3,"Rear-Wheel Drive",2450,"Regular Gasoline","GMC","G15/25 Rally 2WD","Automatic 4-spd",18,24,"Vans",1985,NA
4,2.2,"Front-Wheel Drive",1700,"Regular Gasoline","Chevrolet","Cavalier Wagon","Automatic 3-spd",26,39.7436,"Small Station Wagons",1993,NA
6,3.1,"Front-Wheel Drive",1900,"Regular Gasoline","Chevrolet","Cavalier Wagon","Automatic 3-spd",22,36,"Small Station Wagons",1993,NA
6,3,"Front-Wheel Drive",3150,"Premium Gasoline","CX Automotive","XM v6 Break","Automatic 4-spd",16,26,"Small Station Wagons",1993,TRUE
4,1.9,"Front-Wheel Drive",1600,"Regular Gasoline","Ford","Escort Wagon","Automatic 4-spd",28,42.3077,"Small Station Wagons",1993,NA
4,1.9,"Front-Wheel Drive",1400,"Regular Gasoline","Ford","Escort Wagon","Manual 5-spd",32.2222,46.1538,"Small Station Wagons",1993,NA
4,2.2,"Front-Wheel Drive",1900,"Regular Gasoline","Honda","Accord Wagon","Automatic 4-spd",23,34,"Small Station Wagons",1993,NA
4,2.2,"Front-Wheel Drive",1800,"Regular Gasoline","Honda","Accord Wagon","Manual 5-spd",25,36,"Small Station Wagons",1993,NA
4,1.9,"Front-Wheel Drive",1600,"Regular Gasoline","Mercury","Tracer Wagon","Automatic 4-spd",28,42.3077,"Small Station Wagons",1993,NA
4,1.9,"Front-Wheel Drive",1400,"Regular Gasoline","Mercury","Tracer Wagon","Manual 5-spd",32.2222,46.1538,"Small Station Wagons",1993,NA
4,1.9,"Front-Wheel Drive",1500,"Regular Gasoline","Saturn","SW","Automatic 4-spd",28,45,"Small Station Wagons",1993,NA
6,4.3,"Rear-Wheel Drive",2650,"Regular Gasoline","GMC","G15/25 Rally 2WD","Manual 3-spd",17,23,"Vans",1985,NA
4,1.9,"Front-Wheel Drive",1650,"Regular Gasoline","Saturn","SW","Automatic 4-spd",26.6667,42,"Small Station Wagons",1993,NA
4,1.9,"Front-Wheel Drive",1400,"Regular Gasoline","Saturn","SW","Manual 5-spd",31,47,"Small Station Wagons",1993,NA
4,1.9,"Front-Wheel Drive",1600,"Regular Gasoline","Saturn","SW","Manual 5-spd",27,44.8718,"Small Station Wagons",1993,NA
4,2.2,"Front-Wheel Drive",1800,"Regular Gasoline","Subaru","Legacy Wagon","Automatic 4-spd",24,37,"Small Station Wagons",1993,NA
4,2.2,"Front-Wheel Drive",1700,"Regular Gasoline","Subaru","Legacy Wagon","Manual 5-spd",25,39,"Small Station Wagons",1993,NA
4,2.2,"4-Wheel or All-Wheel Drive",1900,"Regular Gasoline","Subaru","Legacy Wagon AWD","Automatic 4-spd",23,34,"Small Station Wagons",1993,NA
4,2.2,"4-Wheel or All-Wheel Drive",1900,"Regular Gasoline","Subaru","Legacy Wagon AWD","Manual 5-spd",23,34,"Small Station Wagons",1993,NA
4,2.2,"4-Wheel or All-Wheel Drive",2600,"Premium Gasoline","Subaru","Legacy Wagon AWD Turbo","Automatic 4-spd",20,29,"Small Station Wagons",1993,NA
4,1.8,"Front-Wheel Drive",1800,"Regular Gasoline","Subaru","Loyale Wagon","Automatic 3-spd",27,33,"Small Station Wagons",1993,NA
4,1.8,"Front-Wheel Drive",1650,"Regular Gasoline","Subaru","Loyale Wagon","Manual 5-spd",28,39,"Small Station Wagons",1993,NA
8,5,"Rear-Wheel Drive",3300,"Regular Gasoline","GMC","G15/25 Rally 2WD","Automatic 3-spd",14,17,"Vans",1985,NA
4,1.8,"Front-Wheel Drive",1600,"Regular Gasoline","Toyota","Corolla Wagon","Automatic 4-spd",29,42,"Small Station Wagons",1993,NA
4,1.8,"Front-Wheel Drive",1500,"Regular Gasoline","Toyota","Corolla Wagon","Manual 5-spd",30,42.3077,"Small Station Wagons",1993,NA
4,2.2,"Front-Wheel Drive",1900,"Regular Gasoline","Buick","Century Wagon","Automatic 3-spd",23,37,"Midsize-Large Station Wagons",1993,NA
6,3.3,"Front-Wheel Drive",2100,"Regular Gasoline","Buick","Century Wagon","Automatic 3-spd",21.1111,33,"Midsize-Large Station Wagons",1993,NA
6,3.3,"Front-Wheel Drive",1900,"Regular Gasoline","Buick","Century Wagon","Automatic 4-spd",22,37,"Midsize-Large Station Wagons",1993,NA
4,1.8,"4-Wheel or All-Wheel Drive",1950,"Regular Gasoline","Eagle","Summit Wagon","Automatic 4-spd",23,32,"Midsize-Large Station Wagons",1993,NA
4,1.8,"Front-Wheel Drive",1700,"Regular Gasoline","Eagle","Summit Wagon","Automatic 4-spd",26,36,"Midsize-Large Station Wagons",1993,NA
4,1.8,"4-Wheel or All-Wheel Drive",1900,"Regular Gasoline","Eagle","Summit Wagon","Manual 5-spd",24.4444,33,"Midsize-Large Station Wagons",1993,NA
4,1.8,"Front-Wheel Drive",1700,"Regular Gasoline","Eagle","Summit Wagon","Manual 5-spd",26,37,"Midsize-Large Station Wagons",1993,NA
